label,Comment,text,,,
Yes,,Sleeping nt feeling well,,,
Yes,,U WILL SWITCH YOUR FONE ON DAMMIT!!,,,
Yes,,India have to take lead:),,,
Yes,,I.ll post her out l8r. In class,,,
Yes,,Thts wat Wright Brother did to fly..,,,
Yes,,"Evening * v good if somewhat event laden. Will fill you in, don't you worry ‰Û_ Head * ok but throat * wrecked. See you at six then!",,,
Yes,,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),,,
Yes,,ITS A LAPTOP TAKE IT WITH YOU.,,,
Yes,,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,,,
Yes,,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,,,
No,,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",,,
Yes,,I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? ,,,
Yes,,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",,,
Yes,,At 7 we will go ok na.,,,
Yes,,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),,,
Yes,,S:-)if we have one good partnership going we will take lead:),,,
No,,RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,,,
Yes,,"Yeah, where's your class at?",,,
Yes,,No just send to you. Bec you in temple na.,,,
Yes,,"You aren't coming home between class, right? I need to work out and shower!",,,
No,,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL,,,
Yes,,S but mostly not like that.,,,
Yes,,ÌÏ v ma fan...,,,
Yes,,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,,,
Yes,,Guess who spent all last night phasing in and out of the fourth dimension,,,
Yes,,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,,,
Yes,,"Yes..but they said its IT.,",,,
Yes,,Very hurting n meaningful lines ever: \I compromised everything for my love," But at d end my love compromised me for everything:-(\"".. Gud mornin:-)""",,
Yes,,Lmao!nice 1,,,
Yes,,Glad to see your reply.,,,
No,,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,,,
No,,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,,,
Yes,,Nah dub but je still buff,,,
Yes,,Painful words- \I thought being Happy was the most toughest thing on Earth... But," the toughest is acting Happy with all unspoken pain inside..\""""",,
Yes,,"Yeah, that's fine! It's å£6 to get in, is that ok? ",,,
Yes,,Lol where do u come up with these ideas?,,,
Yes,,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",,,
Yes,,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,
Yes,,Okay... We wait ah,,,
Yes,,Y lei?,,,
Yes,,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,,,
Yes,,Already am squatting is the new way of walking,,,
Yes,,Do you want bold 2 or bb torch,,,
Yes,,Cramps stopped. Going back to sleep,,,
No,,todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award,,,
No,,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,,,
Yes,,Nan sonathaya soladha. Why boss?,,,
Yes,,Bring tat cd don forget,,,
No,,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,,,
Yes,,I don't know but I'm raping dudes at poker,,,
Yes,,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,,,
Yes,,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,,,
Yes,,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? ,,,
Yes,,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,,,
Yes,,"Sorry man, my stash ran dry last night and I can't pick up more until sunday",,,
Yes,,Hai priya are you right. What doctor said pa. Where are you.,,,
No,,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",,,
Yes,,Ok...,,,
Yes,,Please ask mummy to call father,,,
Yes,,Can come my room but cannot come my house cos my house still messy... Haha...,,,
Yes,,I have lost 10 kilos as of today!,,,
Yes,,Just taste fish curry :-P,,,
Yes,,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,,,
Yes,,Yun ah.now Ì_ wkg where?btw if Ì_ go nus sc. ÌÏ wana specialise in wad?,,,
Yes,,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,,,
Yes,,Was doing my test earlier. I appreciate you. Will call you tomorrow.,,,
Yes,,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",,,
Yes,,U meet other fren dun wan meet me ah... Muz b a guy rite...,,,
Yes,,"(No promises on when though, haven't even gotten dinner yet)",,,
Yes,,I got your back! Do you have any dislikes in bed?,,,
Yes,,o turns out i had stereo love on mi phone under the unknown album.,,,
No,,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,,,
Yes,,Yeah I don't see why not,,,
Yes,,Asking do u knw them or nt? May be ur frnds or classmates?,,,
Yes,,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",,,
No,,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,,,
Yes,,"As in missionary hook up, doggy hook up, standing...|",,,
Yes,,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,,,
Yes,,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",,,
Yes,,Am watching house ‰ÛÒ very entertaining ‰ÛÒ am getting the whole hugh laurie thing ‰ÛÒ even with the stick ‰ÛÒ indeed especially with the stick.,,,
Yes,,Thought praps you meant another one. Goodo! I'll look tomorrow ,,,
Yes,,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James.",,,
Yes,,There bold 2  &lt;#&gt; . Is that yours,,,
Yes,,You know there is. I shall speak to you in  &lt;#&gt;  minutes then,,,
Yes,,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""",,,
Yes,,I went to project centre,,,
Yes,,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
Yes,,Lol yeah at this point I guess not,,,
Yes,,Doing project w frens lor. ,,,
Yes,,Lol. Well quality aint bad at all so i aint complaining,,,
Yes,,"K, can that happen tonight?",,,
No,,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",,,
Yes,,"I think we're going to finn's now, come",,,
Yes,,Why tired what special there you had,,,
Yes,,I will come tomorrow di,,,
Yes,,I cant pick the phone right now. Pls send a message,,,
Yes,,K go and sleep well. Take rest:-).,,,
Yes,,U guys never invite me anywhere :(,,,
No,,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117,,,
Yes,,I can do that! I want to please you both inside and outside the bedroom...,,,
Yes,,"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\""""",,,
Yes,,I love to wine and dine my lady!,,,
No,,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,,,
Yes,,"IåÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",,,
Yes,,I don know account details..i will ask my mom and send you.my mom is out of reach now.,,,
Yes,,I think u have the wrong number.,,,
Yes,,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),,,
Yes,,DO NOT B LATE LOVE MUM,,,
Yes,,Got it..mail panren paru..,,,
Yes,,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,,,
Yes,,Give one miss from that number please,,,
Yes,,Jus came back fr lunch wif my sis only. U leh?,,,
Yes,,How is your schedule next week? I am out of town this weekend.,,,
Yes,,Really good:)dhanush rocks once again:),,,
Yes,,Lmao ok I wont be needing u to do my hair anymore.,,,
Yes,,"Miss ya, need ya, want ya, love ya.",,,
Yes,,Sorry i'm not free...,,,
Yes,,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,,,
Yes,,Nt yet chikku..simple habba..hw abt u?,,,
Yes,,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",,,
Yes,,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,,,
Yes,,Joy's father is John. Then John is the NAME of Joy's father. Mandan,,,
No,,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,,,
Yes,,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,,,
No,,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,,,
Yes,,"K, want us to come by now?",,,
Yes,,How. Its a little difficult but its a simple way to enter this place,,,
Yes,,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,,,
Yes,,Dont show yourself. How far. Put new pictures up on facebook.,,,
Yes,,Watching tv now. I got new job :),,,
Yes,,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!",,,
Yes,,"I'm not coming over, do whatever you want",,,
Yes,,"Its ok chikku, and its my 1 of favourite song..:-)",,,
Yes,,Did u see what I posted on your Facebook?,,,
No,,Call FREEPHONE 0800 542 0578 now!,,,
No,,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,,,
Yes,,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",,,
No,,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",,,
No,,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,,,
Yes,,";-( oh well, c u later",,,
Yes,,My uncles in Atlanta. Wish you guys a great semester.,,,
Yes,,No dear i do have free messages without any recharge. Hi hi hi,,,
Yes,,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",,,
Yes,,I dun believe u. I thk u told him.,,,
Yes,,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",,,
Yes,,Yes:)sura in sun tv.:)lol.,,,
Yes,,Arun can u transfr me d amt,,,
Yes,,Takin a shower now but yeah I'll leave when I'm done,,,
Yes,,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,,,
Yes,,U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u,,,
No,,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",,,
Yes,,You bad girl. I can still remember them,,,
Yes,,How much i gave to you. Morning.,,,
Yes,,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",,,
Yes,,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",,,
Yes,,Can i get your opinion on something first?,,,
Yes,,That one week leave i put know that time. Why.,,,
Yes,,"If we hit it off, you can move in with me :)",,,
Yes,,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,,,
Yes,,I wanna watch that movie,,,
Yes,,Ok lor thanx... ÌÏ in school?,,,
Yes,,I'm in class. Did you get my text.,,,
Yes,,The bus leaves at  &lt;#&gt; ,,,
Yes,,God bless.get good sleep my dear...i will pray!,,,
No,,Todays Voda numbers ending 1225 are selected to receive a å£50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,,,
Yes,,Do have a nice day today. I love you so dearly.,,,
Yes,,Aiyo a bit pai seh Ì_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,,,
Yes,,"Aight, I'll ask a few of my roommates",,,
Yes,,"Now, whats your house # again ? And do you have any beer there ?",,,
Yes,,Do Ì_ all wan 2 meet up n combine all the parts? How's da rest of da project going?,,,
Yes,,"\Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\""""",,,
Yes,,Yes we are chatting too.,,,
Yes,,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,,,
Yes,,Sian... Aft meeting supervisor got work 2 do liao... U working now?,,,
Yes,,Are you going to write ccna exam this week??,,,
Yes,,Well i will watch shrek in 3D!!B),,,
Yes,,Am i that much dirty fellow?,,,
Yes,,Dunno dat's wat he told me. Ok lor...,,,
Yes,,I'll probably be by tomorrow (or even later tonight if something's going on),,,
Yes,,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,,,
Yes,,If you're thinking of lifting me one then no.,,,
Yes,,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,,,
Yes,,Sent me ur email id soon,,,
Yes,,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,,,
Yes,,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",,,
Yes,,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,,,
Yes,,May i call You later Pls,,,
No,,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",,,
Yes,,That's the way you should stay oh.,,,
Yes,,Hello- thanx for taking that call. I got a job! Starts on monday!,,,
Yes,,What time is ur flight tmr?,,,
Yes,,When should I come over?,,,
Yes,,I have a rather prominent bite mark on my right cheek,,,
Yes,,* Will be september by then!,,,
Yes,,Are you wet right now?,,,
Yes,,And how's your husband.,,,
No,,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",,,
Yes,,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,,,
Yes,,Yeah. I got a list with only u and Joanna if I'm feeling really anti social,,,
Yes,,I am in your office na.,,,
Yes,,"\Are you comingdown later?\""""",,,
Yes,,Super da:)good replacement for murali,,,
Yes,,Da is good good player.why he is unsold.,,,
Yes,,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,,,
Yes,,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,,,
No,,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",,,
Yes,,I dont want to hear philosophy. Just say what happen,,,
Yes,,You got job in wipro:)you will get every thing in life in 2 or 3 years.,,,
Yes,,Then cant get da laptop? My matric card wif Ì_ lei... ,,,
Yes,,Dunno da next show aft 6 is 850. Toa payoh got 650.,,,
No,,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate ",,,
Yes,,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,,,
Yes,,They did't play one day last year know even though they have very good team.. Like india.,,,
Yes,,K.:)you are the only girl waiting in reception ah?,,,
Yes,,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
Yes,,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.,,,
Yes,,"Sir, i am waiting for your call.",,,
Yes,,What's up. Do you want me to come online?,,,
Yes,,"It could work, we'll reach a consensus at the next meeting",,,
Yes,,Aiyah then i wait lor. Then u entertain me. Hee...,,,
Yes,,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",,,
Yes,,I'll let you know when it kicks in,,,
Yes,,You call him now ok i said call him,,,
Yes,,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,,,
Yes,,Or Ì_ go buy wif him then i meet Ì_ later can?,,,
Yes,,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,,,
Yes,,Today my system sh get ready.all is well and i am also in the deep well,,,
Yes,,Mom wants to know where you at,,,
Yes,,"Aight, I'll text you when I'm back",,,
Yes,,Dont know supports ass and srt i thnk. I think ps3 can play through usb too,,,
Yes,,Oh ok i didnt know what you meant. Yep i am baby jontin,,,
No,,You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on,,,
No,,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,,,
No,,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
Yes,,Watching tv now. I got new job :),,,
Yes,,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! ,,,
Yes,,I AM AT A PARTY WITH ALEX NICHOLS,,,
No,,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,,,
Yes,,Just seeing your missed call my dear brother. Do have a gr8 day.,,,
Yes,,Ok.. ÌÏ finishing soon?,,,
Yes,,"Sorry, I can't help you on this.",,,
Yes,,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(",,,
Yes,,I love your ass! Do you enjoy doggy style? :),,,
Yes,,I think asking for a gym is the excuse for lazy people. I jog.,,,
No,,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs ,,,
No,,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or å£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,,,
Yes,,No. On the way home. So if not for the long dry spell the season would have been over,,,
Yes,,I gotta collect da car at 6 lei.,,,
Yes,,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,,,
Yes,,Probably earlier than that if the station's where I think it is,,,
No,,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,,,
Yes,,Good Morning plz call me sir,,,
No,,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)",,,
Yes,,"Uh, heads up we don't have THAT much left",,,
Yes,,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,,,
Yes,,"Aight, sounds good. When do you want me to come down?",,,
Yes,,Wat would u like 4 ur birthday?,,,
Yes,,I love working from home :),,,
Yes,,And miss vday the parachute and double coins??? U must not know me very well...,,,
Yes,,"Sorry, I'll call later",,,
Yes,,My sister got placed in birla soft da:-),,,
No,,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,,,
Yes,,Wah... Okie okie... Muz make use of e unlimited... Haha... ,,,
Yes,,"There're some people by mu, I'm at the table by lambda",,,
Yes,,And stop being an old man. You get to build snowman snow angels and snowball fights.,,,
Yes,,ELLO BABE U OK?,,,
Yes,,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u ,,,
Yes,,Then u going ikea str aft dat?,,,
Yes,,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,,,
Yes,,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,,,
Yes,,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,,,
Yes,,You want to go? ,,,
No,,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,,,
Yes,,Its not that time of the month nor mid of the time?,,,
Yes,,Fffff. Can you text kadeem or are you too far gone,,,
Yes,,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,,,
Yes,,Is fujitsu s series lifebook good?,,,
Yes,,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,,,
Yes,,Dont know you bring some food,,,
Yes,,No current and food here. I am alone also,,,
Yes,,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...,,,
Yes,,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?,,,
Yes,,Ok,,,
Yes,,We don call like  &lt;#&gt;  times oh. No give us hypertension oh.,,,
Yes,,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!",,,
Yes,,Omg it could snow here tonite!,,,
No,,Call from 08702490080 - tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,,,
No,,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,,,
Yes,,Carry on not disturbing both of you,,,
Yes,,What pa tell me.. I went to bath:-),,,
Yes,,Jus finished avatar nigro,,,
Yes,,R u over scratching it?,,,
Yes,,Hope you are having a great day.,,,
Yes,,Did either of you have any idea's? Do you know of anyplaces doing something?,,,
Yes,,My planning usually stops at \find hella weed," smoke hella weed\""""",,
Yes,,The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do,"\"" not \""what i need to do.\""""",,
Yes,,Excellent! Are you ready to moan and scream in ecstasy?,,,
No,,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. Aå£1.50 minAPN LS278BB,,,
Yes,,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex,,,
No,,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",,,
Yes,,K...k:)why cant you come here and search job:),,,
Yes,,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(,,,
Yes,,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu",,,
Yes,,Can Ì_ call me at 10:10 to make sure dat i've woken up...,,,
Yes,,Hey we can go jazz power yoga hip hop kb and yogasana ,,,
Yes,,The battery is for mr adewale my uncle. Aka Egbon,,,
Yes,,I cant pick the phone right now. Pls send a message,,,
Yes,,Wait 2 min..stand at bus stop,,,
Yes,,Oh ic. I thought you meant mary jane.,,,
Yes,,Haha... Really oh no... How? Then will they deduct your lesson tmr?,,,
Yes,,Nah im goin 2 the wrks with j wot bout u?,,,
Yes,,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................,,,
Yes,,Good night. Am going to sleep.,,,
Yes,,"Aight I'll grab something to eat too, text me when you're back at mu",,,
Yes,,K...k:)why cant you come here and search job:),,,
Yes,,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.,,,
Yes,,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite",,,
Yes,,Howz that persons story,,,
No,,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,,,
Yes,,LOL that would be awesome payback.,,,
No,,it to 80488. Your 500 free text messages are valid until 31 December 2005.,,,
Yes,,Yes :)it completely in out of form:)clark also utter waste.,,,
Yes,,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",,,
Yes,,Thanks. It was only from tescos but quite nice. All gone now. Speak soon ,,,
Yes,,What's a feathery bowa? Is that something guys have that I don't know about?,,,
Yes,,Even i cant close my eyes you are in me our vava playing umma :-D,,,
Yes,,2 laptop... I noe infra but too slow lar... I wan fast one,,,
No,,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP,,,
Yes,,Nvm it's ok...,,,
Yes,,Enjoy ur life. . Good night,,,
Yes,,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march ‰Û_ ish!,,,
Yes,,I had askd u a question some hours before. Its answer,,,
Yes,,Thats cool. Where should i cum? On you or in you? :),,,
Yes,,Delhi and chennai still silent.,,,
Yes,,Lol alright i was thinkin that too haha,,,
No,,Reply to win å£100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,,,
Yes,,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,,,
Yes,,Shhhhh nobody is supposed to know!,,,
Yes,,"Sorry, I'll call later",,,
Yes,,"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; ",,,
Yes,,Hey i will be late... i'm at amk. Need to drink tea or coffee,,,
